SNo,Class Name,GPT3 discription
32,Vigorous Jump,"

Vigorous Jump is a human action that involves leaping energetically into the air."
33,Cutting Vegetables,"

Cutting Vegetables is a human action that involves slicing or chopping vegetables with a knife."
34,Scratch Fist,"

Scratch Fist is a human action where a fist is clenched, and a scratching motion is made."
35,Brushing teeth,"

Brushing teeth is a human action involving the use of a toothbrush to clean the teeth."
36,Front Fold,"

Front Fold is a human action where the upper body is bent forward, often to stretch the back and hamstrings."
37,Front and rear foot pads,"

Front and rear foot pads is a human action involving alternating shifts of weight between the front and rear foot."
38,Forward and backward sliding steps,"

Forward and backward sliding steps is a human action involving sliding steps forward and backward in a smooth motion."
39,Cutting Nails,"

Cutting Nails is a human action that involves trimming the nails with a clipper or scissors."
40,Eye Makeup,"

Eye Makeup is a human action that involves applying cosmetics around the eyes for enhancement."
41,One handed cheek support,"

One handed cheek support is a human action where one hand is used to support the cheek, often as a resting or thinking posture."
42,Single Leg Jump,"

Single Leg Jump is a human action that involves jumping into the air while balancing on one leg."
43,Single Knee Squat,"

Single Knee Squat is a human action that involves squatting down on one leg while keeping the other knee bent."
44,Volume Data Cable,"

Volume Data Cable is a human action involving the handling or adjustment of a data cable for volume control or connection."
45,Press stapler,"

Press stapler is a human action where one presses a stapler to bind papers together."
46,In Place Wide Distance Run,"

In Place Wide Distance Run is a human action where one mimics running with wide steps while staying in one spot."
47,In Place Hip Kick,"

In Place Hip Kick is a human action involving kicking the legs while staying in place and engaging the hips."
48,Jumping Rope in Place,"

Jumping Rope in Place is a human action that involves simulating or actually jumping rope while remaining in one spot."
49,Step in Place,"

Step in Place is a human action where one steps up and down without moving forward or backward."
50,Cross your waist and raise your fist,"

Cross your waist and raise your fist is a human action where one arm crosses the waist while the other fist is raised."
51,Cross waist punch,"

Cross waist punch is a human action where one arm crosses the waist while executing a punch."
52,Cross waist circle eyes,"

Cross waist circle eyes is a human action that involves circling the eyes while the arm crosses the waist."
53,Cross legged Spreading Hands,"

Cross legged Spreading Hands is a human action where one sits cross-legged while spreading the hands out to the sides."
54,Cross your waist and touch your ears,"

Cross your waist and touch your ears is a human action where one arm crosses the waist and the hand touches the ear."
55,Holding cheeks with both hands,"

Holding cheeks with both hands is a human action where both hands are used to cup the cheeks, often as a gesture of thought or surprise."
56,Stacking Paper,"

Stacking Paper is a human action that involves organizing or piling papers on top of each other."
57,Folding Clothes,"

Folding Clothes is a human action involving the act of neatly folding garments."
58,Folding Quilt,"

Folding Quilt is a human action that involves folding a quilt or blanket, often for storage or tidying."
59,Percussion,"

Percussion is a human action involving striking or tapping an object rhythmically, often associated with musical instruments."
60,Right swag,"

Right swag is a human action involving a confident or exaggerated gesture or movement towards the right."
61,Right Shoulder Stretch,"

Right Shoulder Stretch is a human action involving the stretching of the right shoulder for flexibility or relief."
62,Right humeral triple extension,"

Right humeral triple extension is a human action involving the extension of the humerus (upper arm bone) in three stages or angles."
63,Right Back Stretch,"

Right Back Stretch is a human action involving the stretching of the back muscles towards the right side."
64,Right Neck Stretch,"

Right Neck Stretch is a human action involving the stretching of the neck towards the right for flexibility or relief."
65,Right single swing arm,"

Right single swing arm is a human action where only the right arm is swung in a controlled motion."
66,Right thigh front stretch,"

Right thigh front stretch is a human action where the front of the right thigh is stretched to improve flexibility."
67,Right calf stretch,"

Right calf stretch is a human action where the right calf muscles are stretched for relief or flexibility."
68,Right Lunge Twist Stretch,"

Right Lunge Twist Stretch is a human action that combines a lunge with a twist and stretch, focusing on the right side of the body."
69,Right Bend,"

Right Bend is a human action where the body bends towards the right side."
70,Raise hand with right hand,"

Raise hand with right hand is a human action that involves lifting the right hand upwards."
71,Right hand raised,"

Right hand raised is a human action where the right hand is held up, often as a gesture or signal."
72,Right Hand Circle,"

Right Hand Circle is a human action where the right hand makes a circular motion."
73,Cover the top of the head with the right hand,"

Cover the top of the head with the right hand is a human action where the right hand is used to shield or cover the top of the head."
74,Right Oblique Pull Down Half Squat,"

Right Oblique Pull Down Half Squat is a human action combining a pull-down motion with an oblique twist and half squat to the right."
75,Right Waist Stretch,"

Right Waist Stretch is a human action that involves stretching the waist towards the right for flexibility."
76,Right Leg Back Pressure,"

Right Leg Back Pressure is a human action that involves applying pressure to the right leg while it is extended backwards."
77,Right iliopsoas muscle stretch,"

Right iliopsoas muscle stretch is a human action that involves stretching the iliopsoas muscle on the right side, improving flexibility in the hip and thigh."
78,Right leg left kick,"

Right leg left kick is a human action where the right leg is used to kick towards the left side."
79,Right leg side pressure,"

Right leg side pressure is a human action that involves applying pressure to the side of the right leg for a stretch or exercise."
80,Right Knee Bend,"

Right Knee Bend is a human action where the right knee is bent to engage muscles in the leg or for a stretch."
81,Right Elbow Press,"

Right Elbow Press is a human action where pressure is applied through the right elbow, often as a stretch or exercise."
82,Right Wrist Twist,"

Right Wrist Twist is a human action involving the twisting or rotation of the right wrist for flexibility."
83,Right Heel Touch,"

Right Heel Touch is a human action where the right heel is touched with the hand, often as a stretch."
84,Right Hip Swing,"

Right Hip Swing is a human action where the hips are swung to the right side in a rhythmic or controlled motion."
85,Right Arm Shoulder Stretch,"

Right Arm Shoulder Stretch is a human action where the right arm is used to stretch the shoulder muscles for flexibility."
86,Right Finger Twist,"

Right Finger Twist is a human action where the fingers of the right hand are twisted or turned in a controlled motion."
87,Right knee extension,"

Right knee extension is a human action where the right knee is fully extended to engage the leg muscles."
88,Right Shoulder Pinch,"

Right Shoulder Pinch is a human action involving pinching the shoulder muscles on the right side for relief or stretch."
89,Right Leg Cross,"

Right Leg Cross is a human action where the right leg crosses over the left leg while sitting or standing."
90,Right Arm Punch,"

Right Arm Punch is a human action where the right arm is extended forcefully in a punching motion."
91,Right Leg Kick,"

Right Leg Kick is a human action where the right leg is kicked forward or to the side."
92,Right Arm Swing,"

Right Arm Swing is a human action where the right arm is swung back and forth in a controlled motion."
93,Right Foot Twist,"

Right Foot Twist is a human action involving twisting the right foot for flexibility or balance."
94,Right Hip Bend,"

Right Hip Bend is a human action where the hips bend towards the right side, often for a stretch or to engage muscles."
95,Right Leg Stomp,"

Right Leg Stomp is a human action where the right leg is forcefully stomped downwards."
96,Right Hand Tap,"

Right Hand Tap is a human action where the right hand taps on a surface or body part."
97,Right Elbow Stretch,"

Right Elbow Stretch is a human action that involves stretching the right elbow for flexibility."
98,Right Leg Stretch,"

Right Leg Stretch is a human action involving stretching the right leg for improved flexibility."
99,Right Arm Extension,"

Right Arm Extension is a human action where the right arm is fully extended outward."
100,Right Arm Raise,"

Right Arm Raise is a human action where the right arm is lifted upwards, either straight or bent at the elbow."
101,Right Hand Clap,"

Right Hand Clap is a human action where the right hand claps together with the left hand to make a sound."
102,Right Finger Snap,"

Right Finger Snap is a human action where the right fingers are snapped to produce a sound."
103,Right Knee Tap,"

Right Knee Tap is a human action where the right hand taps the right knee, often for rhythmic or stretching purposes."
104,Right Leg Lift,"

Right Leg Lift is a human action where the right leg is lifted upward from a standing or lying position."
105,Right Foot Step,"

Right Foot Step is a human action where the right foot steps forward, backward, or to the side."
106,Right Heel Raise,"

Right Heel Raise is a human action where the right heel is raised off the ground, usually for balance or exercise."
107,Right Elbow Bend,"

Right Elbow Bend is a human action where the right elbow is bent to engage arm muscles."
108,Right Finger Point,"

Right Finger Point is a human action where the right index finger is extended to point at something."
109,Right Leg Push,"

Right Leg Push is a human action where the right leg pushes against a surface or object."
110,Right Arm Pull,"

Right Arm Pull is a human action where the right arm pulls an object or stretches backwards."
111,Right Hand Grip,"

Right Hand Grip is a human action where the right hand tightly grips an object or surface."
112,Right Shoulder Shrug,"

Right Shoulder Shrug is a human action where the right shoulder is lifted upwards in a shrugging motion."
113,Right Hip Rotation,"

Right Hip Rotation is a human action where the hips rotate in a circular motion to the right."
114,Right Leg Rotation,"

Right Leg Rotation is a human action involving rotating the right leg in a circular motion at the hip."
115,Right Ankle Twist,"

Right Ankle Twist is a human action where the right ankle is twisted or rotated for flexibility."
116,Right Toe Tap,"

Right Toe Tap is a human action where the right toe taps the ground repeatedly."
117,Right Arm Wave,"

Right Arm Wave is a human action where the right arm moves in a waving motion, often to signal someone."
118,Right Wrist Bend,"

Right Wrist Bend is a human action where the right wrist is bent either forwards or backwards."
119,Right Hand Squeeze,"

Right Hand Squeeze is a human action where the right hand is squeezed into a fist or around an object."
120,Right Foot Stamp,"

Right Foot Stamp is a human action where the right foot forcefully stamps on the ground."
121,Right Elbow Jab,"

Right Elbow Jab is a human action where the right elbow makes a quick, jabbing motion, often in self-defense."
122,Right Knee Raise,"

Right Knee Raise is a human action where the right knee is lifted upwards, usually as part of a stretch or exercise."
123,Right Shoulder Roll,"

Right Shoulder Roll is a human action where the right shoulder makes a rolling motion to loosen or stretch the muscles."
124,Right Hand Swing,"

Right Hand Swing is a human action where the right hand swings back and forth in a controlled or rhythmic motion."
125,Right Leg Curl,"

Right Leg Curl is a human action where the right leg is bent at the knee, bringing the heel towards the body."
126,Right Arm Flex,"

Right Arm Flex is a human action where the right arm is flexed to show muscle strength or for exercise."
127,Right Foot Tap,"

Right Foot Tap is a human action where the right foot repeatedly taps the ground, often to the rhythm of music."
128,Right Thumb Up,"

Right Thumb Up is a human action where the right thumb is raised in an upward position as a gesture of approval."
129,Right Hand Push,"

Right Hand Push is a human action where the right hand pushes against a surface or object to move it."
130,Right Arm Stretch,"

Right Arm Stretch is a human action where the right arm is extended fully to stretch the muscles."
131,Right Leg Kick,"

Right Leg Kick is a human action where the right leg is swiftly kicked forward, sideways, or backward."
132,Right Fist Punch,"

Right Fist Punch is a human action where the right fist is clenched and thrown forward in a punching motion."
133,Right Foot Drag,"

Right Foot Drag is a human action where the right foot is dragged across the ground, usually for movement."
134,Right Shoulder Press,"

Right Shoulder Press is a human action where the right shoulder pushes upwards or against a resistance."
135,Right Hand Shake,"

Right Hand Shake is a human action where the right hand is shaken up and down, often as a greeting or agreement gesture."
136,Right Leg Bend,"

Right Leg Bend is a human action where the right knee is bent to bring the foot closer to the body."
137,Right Hip Bend,"

Right Hip Bend is a human action where the right hip is bent to tilt the torso sideways or forward."
138,Right Toe Lift,"

Right Toe Lift is a human action where the right toe is lifted off the ground, usually for balance or exercise."
139,Right Arm Cross,"

Right Arm Cross is a human action where the right arm is crossed over the body or paired with the left arm across the chest."
140,Right Hand Point,"

Right Hand Point is a human action where the right hand gestures towards a direction or object."
141,Right Hand Snap,"

Right Hand Snap is a human action where the right fingers are snapped together to make a sharp sound."
142,Right Finger Stretch,"

Right Finger Stretch is a human action where the right fingers are extended and spread apart to stretch the muscles."
143,Right Elbow Lift,"

Right Elbow Lift is a human action where the right elbow is raised upwards, usually as part of an exercise or gesture."
144,Right Hand Flick,"

Right Hand Flick is a human action where the right hand flicks something away with a quick motion."
145,Right Wrist Rotate,"

Right Wrist Rotate is a human action where the right wrist is rotated in a circular motion for flexibility."
146,Right Leg Swing,"

Right Leg Swing is a human action where the right leg swings forward and backward or side to side."
147,Right Arm Fold,"

Right Arm Fold is a human action where the right arm is bent and folded across the chest or with the left arm."
148,Right Thumb Twist,"

Right Thumb Twist is a human action where the right thumb is twisted or rotated, usually in thought or idle movement."
149,Right Hand Clench,"

Right Hand Clench is a human action where the right hand is clenched into a fist."
150,Right Finger Flick,"

Right Finger Flick is a human action where the right fingers flick an object or surface with quick motion."
151,Right Elbow Press,"

Right Elbow Press is a human action where the right elbow is pressed against a surface or resistance."
152,Right Knee Twist,"

Right Knee Twist is a human action where the right knee is twisted slightly, often for stretching or movement."
153,Right Heel Kick,"

Right Heel Kick is a human action where the right heel is kicked backward."
154,Right Leg Jump,"

Right Leg Jump is a human action where the right leg is used to jump or push off the ground."
155,Right Arm Thrust,"

Right Arm Thrust is a human action where the right arm is forcefully pushed forward, often as part of an exercise."
156,Right Hand Punch,"

Right Hand Punch is a human action where the right hand is used to punch, with a clenched fist."
157,Right Arm Push,"

Right Arm Push is a human action where the right arm pushes against an object or surface."
158,Right Finger Stretch,"

Right Finger Stretch is a human action where the right fingers are extended and stretched outward."
159,Right Leg Lunge,"

Right Leg Lunge is a human action where the right leg steps forward while bending at the knee, typically for exercise."
160,Right Shoulder Lift,"

Right Shoulder Lift is a human action where the right shoulder is lifted upwards, often as part of a shrug or exercise."
161,Right Wrist Flick,"

Right Wrist Flick is a human action where the right wrist flicks an object or moves in a snapping motion."
162,Right Foot Pivot,"

Right Foot Pivot is a human action where the right foot rotates or pivots on the ball or heel, changing direction."
163,Right Finger Cross,"

Right Finger Cross is a human action where the right fingers are crossed over each other, often as a gesture for good luck."
164,Right Knee Drop,"

Right Knee Drop is a human action where the right knee drops toward the ground in a controlled motion."
165,Right Arm Roll,"

Right Arm Roll is a human action where the right arm makes a rolling motion, often for stretching."
166,Right Elbow Twist,"

Right Elbow Twist is a human action where the right elbow is twisted or rotated in a circular motion."
167,Right Knee Raise,"

Right Knee Raise is a human action where the right knee is lifted upwards as part of a stretch or exercise."
168,Right Hip Circle,"

Right Hip Circle is a human action where the hips rotate in a circular motion to the right."
169,Right Wrist Bend,"

Right Wrist Bend is a human action where the right wrist is bent forwards or backwards."
170,Right Hand Squeeze,"

Right Hand Squeeze is a human action where the right hand squeezes an object or forms a fist."
171,Right Foot Slide,"

Right Foot Slide is a human action where the right foot slides across the floor, usually for movement."
172,Right Arm Swing,"

Right Arm Swing is a human action where the right arm swings back and forth in a controlled or rhythmic motion."
173,Right Heel Lift,"

Right Heel Lift is a human action where the right heel is lifted off the ground, often for balance or exercise."
174,Right Finger Stretch,"

Right Finger Stretch is a human action where the right fingers are extended and stretched outward."
175,Right Leg Squat,"

Right Leg Squat is a human action where the right leg bends at the knee while the body lowers into a squat."
176,Right Arm Stretch,"

Right Arm Stretch is a human action where the right arm is fully extended to stretch the muscles."
177,Right Knee Bend,"

Right Knee Bend is a human action where the right knee is bent to bring the foot closer to the body."
178,Right Hip Press,"

Right Hip Press is a human action where the right hip is pressed against a surface or pushed forward."
179,Right Toe Lift,"

Right Toe Lift is a human action where the right toe is lifted off the ground, often for balance or exercise."
180,Right Leg Swing,"

Right Leg Swing is a human action where the right leg swings back and forth or side to side."
181,Right Arm Pull,"

Right Arm Pull is a human action where the right arm pulls an object or stretches backward."
182,Right Wrist Stretch,"

Right Wrist Stretch is a human action where the right wrist is extended and stretched, often to relieve tension."
183,Right Ankle Bend,"

Right Ankle Bend is a human action where the right ankle bends forward or backward, usually for flexibility."
184,Right Foot Tap,"

Right Foot Tap is a human action where the right foot taps the ground repeatedly."
185,Right Hand Swing,"

Right Hand Swing is a human action where the right hand swings back and forth in a controlled or rhythmic motion."
186,Right Leg Kick,"

Right Leg Kick is a human action where the right leg is swiftly kicked forward, sideways, or backward."
187,Right Hip Twist,"

Right Hip Twist is a human action where the hips are twisted to the right for flexibility or movement."
188,Right Shoulder Shrug,"

Right Shoulder Shrug is a human action where the right shoulder is lifted upwards in a shrugging motion."
189,Right Elbow Twist,"

Right Elbow Twist is a human action where the right elbow is twisted or rotated in a circular motion."
190,Right Leg Stretch,"

Right Leg Stretch is a human action where the right leg is extended fully to stretch the muscles."
191,Right Knee Twist,"

Right Knee Twist is a human action where the right knee is twisted slightly, often for stretching or movement."
192,Right Heel Raise,"

Right Heel Raise is a human action where the right heel is raised off the ground."
193,Right Wrist Rotate,"

Right Wrist Rotate is a human action where the right wrist is rotated in a circular motion for flexibility."
194,Right Hand Clap,"

Right Hand Clap is a human action where the right hand claps together with the left hand to make a sound."
195,Right Foot Lift,"

Right Foot Lift is a human action where the right foot is lifted off the ground, often for balance or movement."
196,Right Finger Snap,"

Right Finger Snap is a human action where the right fingers are snapped together to produce a sound."
197,Right Arm Raise,"

Right Arm Raise is a human action where the right arm is lifted upward."
198,Right Elbow Bend,"

Right Elbow Bend is a human action where the right elbow is bent to bring the hand closer to the body."
199,Right Knee Lift,"

Right Knee Lift is a human action where the right knee is lifted upward, often as part of an exercise."
200,Right Heel Drag,"

Right Heel Drag is a human action where the right heel is dragged across the floor, usually during movement."
201,Right Leg Lift,"

Right Leg Lift is a human action where the right leg is lifted upward, often as part of an exercise or stretch."
202,Right Shoulder Push,"

Right Shoulder Push is a human action where the right shoulder is pushed against an object or resistance."
203,Right Wrist Twist,"

Right Wrist Twist is a human action where the right wrist is twisted in a circular motion."
204,Right Arm Pull,"

Right Arm Pull is a human action where the right arm pulls an object or moves backward in a controlled motion."
205,Right Foot Stomp,"

Right Foot Stomp is a human action where the right foot is forcefully stomped on the ground."
206,Right Knee Swing,"

Right Knee Swing is a human action where the right knee swings in a back-and-forth motion."
207,Right Shoulder Roll,"

Right Shoulder Roll is a human action where the right shoulder rolls in a circular motion for flexibility."
208,Right Elbow Stretch,"

Right Elbow Stretch is a human action where the right elbow is fully extended to stretch the muscles."
209,Right Ankle Twist,"

Right Ankle Twist is a human action where the right ankle is twisted or rotated in a circular motion."
210,Right Hand Twist,"

Right Hand Twist is a human action where the right hand is rotated or twisted in a circular motion."
211,Right Hip Rotate,"

Right Hip Rotate is a human action where the right hip rotates in a circular motion for flexibility."
212,Right Wrist Flex,"

Right Wrist Flex is a human action where the right wrist is flexed forward or backward."
213,Right Foot Tap,"

Right Foot Tap is a human action where the right foot taps the ground repeatedly."
214,Right Finger Bend,"

Right Finger Bend is a human action where the right fingers are bent inward toward the palm."
215,Right Shoulder Stretch,"

Right Shoulder Stretch is a human action where the right shoulder is stretched to relieve tension or for flexibility."
216,Right Ankle Roll,"

Right Ankle Roll is a human action where the right ankle is rolled in a circular motion to increase flexibility."
217,Right Toe Tap,"

Right Toe Tap is a human action where the right toe taps the ground repeatedly."
218,Right Foot Push,"

Right Foot Push is a human action where the right foot pushes against an object or the ground."
219,Right Elbow Roll,"

Right Elbow Roll is a human action where the right elbow rolls in a circular motion to increase flexibility."
220,Right Arm Circle,"

Right Arm Circle is a human action where the right arm moves in a circular motion, often as a stretch or warm-up."
221,Right Wrist Pull,"

Right Wrist Pull is a human action where the right wrist is pulled backward or toward the body."
222,Right Shoulder Push,"

Right Shoulder Push is a human action where the right shoulder pushes against an object or surface."
223,Right Elbow Twist,"

Right Elbow Twist is a human action where the right elbow is twisted or rotated."
224,Right Knee Drop,"

Right Knee Drop is a human action where the right knee lowers or drops toward the ground in a controlled motion."
225,Right Toe Lift,"

Right Toe Lift is a human action where the right toe is lifted off the ground for balance or exercise."
226,Right Hip Thrust,"

Right Hip Thrust is a human action where the right hip thrusts forward or backward, often during exercise."
227,Right Hand Wave,"

Right Hand Wave is a human action where the right hand is waved side to side, often as a greeting or farewell."
228,Right Knee Tap,"

Right Knee Tap is a human action where the right knee is tapped lightly, often to test reflexes."
229,Right Ankle Bend,"

Right Ankle Bend is a human action where the right ankle bends forward or backward for flexibility."
230,Right Foot Twist,"

Right Foot Twist is a human action where the right foot twists or rotates, often to change direction."
231,Right Arm Flick,"

Right Arm Flick is a human action where the right arm flicks forward quickly."
232,Right Wrist Flick,"

Right Wrist Flick is a human action where the right wrist flicks quickly, often to shake off something or as a gesture."
233,Right Leg Jump,"

Right Leg Jump is a human action where the right leg pushes off the ground to jump."
234,Right Elbow Push,"

Right Elbow Push is a human action where the right elbow pushes against an object or surface."
235,Right Heel Pivot,"

Right Heel Pivot is a human action where the right heel pivots or rotates on the ground to change direction."
236,Right Knee Bend,"

Right Knee Bend is a human action where the right knee is bent to bring the foot closer to the body."
237,Right Foot Kick,"

Right Foot Kick is a human action where the right foot is swiftly kicked forward or sideways."
238,Right Finger Flick,"

Right Finger Flick is a human action where the right finger flicks quickly to knock an object or surface."
239,Right Elbow Swing,"

Right Elbow Swing is a human action where the right elbow swings in a back-and-forth motion."
240,Right Hand Flick,"

Right Hand Flick is a human action where the right hand flicks quickly to gesture or shake something off."
241,Right Knee Swing,"

Right Knee Swing is a human action where the right knee swings in a controlled motion for flexibility."
242,Right Leg Squat,"

Right Leg Squat is a human action where the right leg bends at the knee while the body lowers into a squat."
243,Right Arm Stretch,"

Right Arm Stretch is a human action where the right arm is fully extended to stretch the muscles."
244,Right Shoulder Raise,"

Right Shoulder Raise is a human action where the right shoulder is lifted upward."
245,Right Toe Curl,"

Right Toe Curl is a human action where the right toes curl inward toward the foot."
246,Right Hip Flex,"

Right Hip Flex is a human action where the right hip flexes forward for movement or flexibility."
247,Right Hand Swing,"

Right Hand Swing is a human action where the right hand swings back and forth in a controlled or rhythmic motion."
248,Right Knee Lift,"

Right Knee Lift is a human action where the right knee is lifted upward."
249,Right Wrist Curl,"

Right Wrist Curl is a human action where the right wrist curls inward toward the arm."
250,Right Ankle Lift,"

Right Ankle Lift is a human action where the right ankle is lifted off the ground."
251,Right Elbow Stretch,"

Right Elbow Stretch is a human action where the right elbow is fully extended."
252,Right Foot Press,"

Right Foot Press is a human action where the right foot presses against an object or surface."
253,Right Arm Bend,"

Right Arm Bend is a human action where the right arm bends at the elbow."
254,Right Hand Clasp,"

Right Hand Clasp is a human action where the right hand clasps together with the left hand."
255,Right Leg Press,"

Right Leg Press is a human action where the right leg presses against an object or surface."
256,Right Knee Push,"

Right Knee Push is a human action where the right knee pushes against an object or surface."
257,Right Foot Swing,"

Right Foot Swing is a human action where the right foot swings forward and backward."
258,Right Toe Tap,"

Right Toe Tap is a human action where the right toe taps the ground."
259,Right Arm Roll,"

Right Arm Roll is a human action where the right arm rolls in a circular motion."
260,Right Wrist Lift,"

Right Wrist Lift is a human action where the right wrist is lifted upward."
261,Right Hand Stretch,"

Right Hand Stretch is a human action where the right hand is extended and stretched."
262,Right Hip Push,"

Right Hip Push is a human action where the right hip pushes against an object or surface."
263,Right Finger Stretch,"

Right Finger Stretch is a human action where the right fingers are extended and stretched outward."
264,Right Ankle Press,"

Right Ankle Press is a human action where the right ankle presses against a surface."
265,Right Shoulder Swing,"

Right Shoulder Swing is a human action where the right shoulder swings in a back-and-forth motion."
266,Right Knee Raise,"

Right Knee Raise is a human action where the right knee is lifted upward."
267,Right Elbow Curl,"

Right Elbow Curl is a human action where the right elbow is curled inward."
268,Right Foot Stretch,"

Right Foot Stretch is a human action where the right foot is stretched forward or backward."
269,Right Hip Lift,"

Right Hip Lift is a human action where the right hip is lifted upward."
270,Right Arm Circle,"

Right Arm Circle is a human action where the right arm moves in a circular motion."
271,Right Wrist Push,"

Right Wrist Push is a human action where the right wrist pushes against an object or surface."
272,Right Hand Push,"

Right Hand Push is a human action where the right hand pushes against an object or surface."
273,Right Elbow Press,"

Right Elbow Press is a human action where the right elbow presses against an object."
274,Right Leg Swing,"

Right Leg Swing is a human action where the right leg swings back and forth or side to side."
275,Right Shoulder Rotate,"

Right Shoulder Rotate is a human action where the right shoulder rotates in a circular motion."
276,Right Ankle Curl,"

Right Ankle Curl is a human action where the right ankle is curled inward."
277,Right Foot Curl,"

Right Foot Curl is a human action where the right foot curls inward or upward."
278,Right Finger Press,"

Right Finger Press is a human action where the right fingers press against an object or surface."
279,Right Wrist Bend,"

Right Wrist Bend is a human action where the right wrist bends forward or backward."
280,Right Knee Twist,"

Right Knee Twist is a human action where the right knee is twisted or rotated."
281,Right Shoulder Curl,"

Right Shoulder Curl is a human action where the right shoulder curls inward."
282,Right Ankle Twist,"

Right Ankle Twist is a human action where the right ankle twists or rotates."
283,Right Hip Circle,"

Right Hip Circle is a human action where the right hip moves in a circular motion."
284,Right Arm Thrust,"

Right Arm Thrust is a human action where the right arm thrusts forward."
285,Right Finger Curl,"

Right Finger Curl is a human action where the right fingers curl inward toward the palm."
286,Right Leg Curl,"

Right Leg Curl is a human action where the right leg is curled inward."
287,Right Elbow Bend,"

Right Elbow Bend is a human action where the right elbow is bent inward."
288,Right Hand Lift,"

Right Hand Lift is a human action where the right hand is lifted upward."
289,Right Wrist Press,"

Right Wrist Press is a human action where the right wrist presses against a surface."
290,Right Shoulder Push,"

Right Shoulder Push is a human action where the right shoulder pushes against an object or surface."
291,Right Leg Raise,"

Right Leg Raise is a human action where the right leg is lifted upward."
292,Right Ankle Flex,"

Right Ankle Flex is a human action where the right ankle is flexed forward or backward."
293,Right Toe Press,"

Right Toe Press is a human action where the right toe presses against the ground or surface."
294,Right Finger Flick,"

Right Finger Flick is a human action where the right fingers flick quickly."
295,Right Arm Press,"

Right Arm Press is a human action where the right arm presses against an object."
296,Right Knee Flex,"

Right Knee Flex is a human action where the right knee is flexed upward."
297,Right Hip Push,"

Right Hip Push is a human action where the right hip pushes forward."
